Collection ID,Collection Title,Collection Description,Image Src,Image Title,Image Description
2k26wrks,2k26wrks,,/artworks/2k26_wrks/ciaccona.png,Ciaccona,"when algebra meets rythm."
2k26wrks,2k26wrks,,/artworks/2k26_wrks/cosette.png,Cosette,"little rascal be actin' tuff sometimes."
2k26wrks,2k26wrks,,/artworks/2k26_wrks/lewis.png,Lewis,"how does this complex mechanical warlord firearm have such tender feel to it?"
2k26wrks,2k26wrks,,/artworks/2k26_wrks/maruzen.png,Maruzensky,"run till you break the sound barrier of simulation."
2k26wrks,2k26wrks,,/artworks/2k26_wrks/ots14.png,OTS-14,"never hurt my fine lady, look what happened to him now."
2k26wrks,2k26wrks,,/artworks/2k26_wrks/pulchra.png,Pulchra,"pulchra is a british underground rapper who broke into the public sphere with the release of his album, sons of calydon."
archive25,archive25,,/artworks/archive25/ache.jpg,Acheron,"what the fuck did i even make, prob im on some weed or smth."
archive25,archive25,,/artworks/archive25/chrome.jpg,ChromAbstract,"me first edit using photoshop on shitty potato device."
archive25,archive25,,/artworks/archive25/encore.jpg,Encore,"12 hours spend on sculpting + rendering the 3d flame icon like just kms atp bru."
archive25,archive25,,/artworks/archive25/firefly.jpg,Firefly,"first actual good edit bcs learning micro layouting technique."
archive25,archive25,,/artworks/archive25/hkt.jpg,Hakaty,"first tagwall edit in desktop environment, i also quite interested on the design of this char it just soo cool."
archive25,archive25,,/artworks/archive25/hugo.jpg,Hugo,"burnout waste, experimenting new texturing technique."
archive25,archive25,,/artworks/archive25/kafka.jpg,Kafka,"i actually planned this to be a tcg design, but i could never do that in the end, but it turned out decently good anyways."
archive25,archive25,,/artworks/archive25/lagrange.jpg,Lagrange,"cleanest ipx edit im making thoughts? my first and last tagwall host thingy."
archive25,archive25,,/artworks/archive25/maid.jpg,Ancilla,"fun fact: this work are reviewed by my teach when im 11th grader, and he breakdowns the whole psd on every assets/elemnt i use."
archive25,archive25,,/artworks/archive25/marin.jpg,Marine,"mf tryna vintage while hes born on 00s."
archive25,archive25,,/artworks/archive25/mart.jpg,March7,"my best ipx design so far, and my starting 'damaged style' arc ."
archive25,archive25,,/artworks/archive25/susei.jpg,Suisei,"im rushing this in like 30 mins before deadline, second subs in 1 tagwall."
archive25,archive25,,/artworks/archive25/wt60.jpg,Wooting60,"school work to design product promotion."
makeupBA,SLClubDisc,,/artworks/slcdisc/1.jpg,makeupDisc_open,"placeholder."
makeupBA,SLClubDisc,,/artworks/slcdisc/2.jpg,makeupDisc_azusa,"test."
makeupBA,SLClubDisc,,/artworks/slcdisc/3.jpg,makeupDisc_hanako,"test."
makeupBA,SLClubDisc,,/artworks/slcdisc/4.jpg,makeupDisc_hifumi,"test."
makeupBA,SLClubDisc,,/artworks/slcdisc/5.jpg,makeupDisc_koharu,"test."
makeupBA,SLClubDisc,,/artworks/slcdisc/6.jpg,makeupDisc_close,"placeholder."
gamecollab,JohnBrineCollab,,/artworks/johnbrine/1.jpg,JohnBrine,"based on mythical entities that said to be lurking on older version of the respective game."
gamecollab,JohnBrineCollab,,/artworks/johnbrine/2.jpg,JohnBrineAlt1,"JohnBrine's alternative color scheme."
gamecollab,JohnBrineCollab,,/artworks/johnbrine/3.jpg,JohnBrineAlt2,"JohnBrine's alternative color scheme."
gamecollab,JohnBrineCollab,,/artworks/johnbrine/4.jpg,JohnBrineAlt3,"JohnBrine's alternative color scheme."
evecos,evecos,,/artworks/evecos/1.jpg,eveCosplay,"my favorite clingy lovable lavender scented agent, is actually real?."
evecos,evecos,,/artworks/evecos/2.jpg,eveCosplay1,"eveCosplay's alternative color scheme."
evecos,evecos,,/artworks/evecos/3.jpg,eveCosplay2,"eveCosplay's alternative color scheme."
evecos,evecos,,/artworks/evecos/4.jpg,eveCosplay3,"eveCosplay's alternative color scheme."
twt13,twitter_banner,,/artworks/twt13/1.jpg,photonLeak.twtBanner,"the pstouch era of hm1tsu, the lore behind it far more darker that you thought it would be."
twt13,twitter_banner,,/artworks/twt13/2.jpg,photonLeak.twtBanner,"the pstouch era of hm1tsu, the lore behind it far more darker that you thought it would be."
twt13,twitter_banner,,/artworks/twt13/3.jpg,photonLeak.twtBanner,"the pstouch era of hm1tsu, the lore behind it far more darker that you thought it would be."
twt13,twitter_banner,,/artworks/twt13/4.jpg,photonLeak.twtBanner,"the pstouch era of hm1tsu, the lore behind it far more darker that you thought it would be."
twt13,twitter_banner,,/artworks/twt13/5.jpg,photonLeak.twtBanner,"the pstouch era of hm1tsu, the lore behind it far more darker that you thought it would be."
